ANO,UF,DOUTORADO_PLENO,MESTRADO
2020,PR,3,0
2020,PR,29,19
2020,PR,0,0
2020,PR,3,0
2020,PR,21,26
2020,PR,0,0
2020,PR,2,2
2020,PR,11,14
2020,PR,0,2
2020,PR,9,12
2020,PR,0,0
2020,PR,2,2
2020,PR,8,12
2020,PR,0,0
2020,PR,15,13
2020,PR,0,0
2020,PR,4,1
2020,PR,8,13
2020,PR,0,0
2020,PR,0,2
2020,PR,0,11
2020,PR,0,0
2020,PR,4,0
2020,PR,8,19
2020,PR,0,0
2020,PR,2,0
2020,PR,6,17
2020,PR,0,0
2020,PR,4,2
2020,PR,5,23
2020,PR,0,0
2020,PR,5,17
2020,PR,0,0
2020,PR,6,8
2020,PR,0,0
2020,PR,0,1
2020,PR,0,15
2020,PR,0,0
2020,PR,0,9
2020,PR,0,0
2020,PR,0,8
2020,PR,0,1
2020,PR,0,9
2020,PR,0,0
2020,PR,0,4
2020,PR,0,4
2020,PR,0,0
2020,PR,2,1
2020,PR,5,5
2020,PR,0,1
2020,PR,0,5
2020,PR,0,0
2020,PR,0,1
2020,PR,0,4
2020,PR,0,0
2020,PR,0,4
2020,PR,0,6
2020,PR,0,1
2020,PR,0,11
2020,PR,0,2
2020,PR,0,1
2020,PR,0,2
2020,PR,0,1
2020,PR,0,3
2020,PR,0,5
2020,PR,0,1
2020,PR,5,3
2020,PR,0,2
2020,PR,0,0
2020,PR,0,0
2020,PR,0,0
2020,PR,1,0
2020,PR,1,0
2020,PR,0,0
2020,PR,48,54
2020,PR,13,13
2020,PR,2,2
2020,PR,3,0
2020,PR,0,0
2020,PR,36,16
2020,PR,0,16
2020,PR,0,0
2020,PR,16,4
2020,PR,0,0
2020,PR,2,0
2020,PR,33,22
2020,PR,1,0
2020,PR,0,0
2020,PR,3,3
2020,PR,27,11
2020,PR,0,0
2020,PR,0,0
2020,PR,16,12
2020,PR,0,0
2020,PR,54,25
2020,PR,0,0
2020,PR,12,12
2020,PR,0,0
2020,PR,3,3
2020,PR,4,2
2020,PR,22,16
2020,PR,0,0
2020,PR,69,29
2020,PR,0,0
2020,PR,1,0
2020,PR,0,0
2020,PR,46,42
2020,PR,0,0
2020,PR,12,14
2020,PR,12,8
2020,PR,0,0
2020,PR,42,11
2020,PR,1,0
2020,PR,0,0
2020,PR,1,1
2020,PR,1,0
2020,PR,0,0
2020,PR,27,14
2020,PR,20,11
2020,PR,1,0
2020,PR,0,0
2020,PR,2,0
2020,PR,24,20
2020,PR,2,0
2020,PR,15,17
2020,PR,2,0
2020,PR,0,0
2020,PR,21,21
2020,PR,0,0
2020,PR,2,1
2020,PR,1,0
2020,PR,0,0
2020,PR,0,0
2020,PR,66,32
2020,PR,2,0
2020,PR,7,21
2020,PR,0,0
2020,PR,15,12
2020,PR,3,1
2020,PR,12,13
2020,PR,0,0
2020,PR,1,0
2020,PR,17,10
2020,PR,43,19
2020,PR,0,0
2020,PR,38,19
2020,PR,0,0
2020,PR,1,1
2020,PR,19,17
2020,PR,2,0
2020,PR,0,0
2020,PR,6,6
2020,PR,2,0
2020,PR,32,36
2020,PR,1,0
2020,PR,0,0
2020,PR,0,1
2020,PR,0,1
2020,PR,0,0
2020,PR,41,26
2020,PR,1,1
2020,PR,5,0
2020,PR,0,0
2020,PR,33,15
2020,PR,2,2
2020,PR,1,0
2020,PR,24,17
2020,PR,2,2
2020,PR,32,19
2020,PR,0,0
2020,PR,1,1
2020,PR,1,0
2020,PR,16,14
2020,PR,0,0
2020,PR,18,11
2020,PR,3,2
2020,PR,1,0
2020,PR,53,38
2020,PR,0,0
2020,PR,4,2
2020,PR,7,13
2020,PR,0,0
2020,PR,4,4
2020,PR,1,0
2020,PR,17,18
2020,PR,0,0
2020,PR,2,4
2020,PR,12,14
2020,PR,0,0
2020,PR,1,2
2020,PR,2,0
2020,PR,0,0
2020,PR,30,21
2020,PR,0,0
2020,PR,38,24
2020,PR,4,1
2020,PR,4,0
2020,PR,8,15
2020,PR,0,0
2020,PR,15,16
2020,PR,14,13
2020,PR,2,2
2020,PR,18,17
2020,PR,0,1
2020,PR,0,1
2020,PR,0,0
2020,PR,2,0
2020,PR,12,15
2020,PR,0,0
2020,PR,0,2
2020,PR,5,18
2020,PR,0,0
2020,PR,0,2
2020,PR,8,7
2020,PR,4,0
2020,PR,15,17
2020,PR,0,0
2020,PR,5,13
2020,PR,0,8
2020,PR,0,1
2020,PR,0,28
2020,PR,5,11
2020,PR,0,8
2020,PR,0,1
2020,PR,7,15
2020,PR,0,0
2020,PR,2,1
2020,PR,12,8
2020,PR,0,18
2020,PR,0,0
2020,PR,2,0
2020,PR,6,16
2020,PR,0,0
2020,PR,13,9
2020,PR,0,14
2020,PR,0,0
2020,PR,0,5
2020,PR,0,0
2020,PR,0,4
2020,PR,0,0
2020,PR,0,7
2020,PR,0,0
2020,PR,1,0
2020,PR,9,5
2020,PR,0,3
2020,PR,0,2
2020,PR,0,0
2020,PR,0,2
2020,PR,0,3
2020,PR,1,2
2020,PR,2,2
2020,PR,22,14
2020,PR,2,2
2020,PR,3,2
2020,PR,0,0
2020,PR,27,15
2020,PR,3,0
2020,PR,0,0
2020,PR,21,20
2020,PR,0,1
2020,PR,2,2
2020,PR,0,0
2020,PR,14,15
2020,PR,2,2
2020,PR,21,13
2020,PR,2,1
2020,PR,16,15
2020,PR,4,0
2020,PR,24,12
2020,PR,4,2
2020,PR,0,0
2020,PR,16,13
2020,PR,3,2
2020,PR,3,0
2020,PR,0,0
2020,PR,21,10
2020,PR,1,2
2020,PR,2,0
2020,PR,0,0
2020,PR,16,11
2020,PR,3,2
2020,PR,0,0
2020,PR,16,12
2020,PR,3,2
2020,PR,0,0
2020,PR,13,11
2020,PR,2,2
2020,PR,0,0
2020,PR,17,7
2020,PR,0,7
2020,PR,0,1
2020,PR,0,7
2020,PR,1,0
2020,PR,33,27
2020,PR,0,0
2020,PR,1,2
2020,PR,20,18
2020,PR,0,0
2020,PR,2,0
2020,PR,11,14
2020,PR,0,0
2020,PR,2,0
2020,PR,12,19
2020,PR,2,2
2020,PR,14,23
2020,PR,0,0
2020,PR,1,0
2020,PR,6,16
2020,PR,0,0
2020,PR,0,8
2020,PR,0,1
2020,PR,0,1
2020,PR,5,10
2020,PR,0,0
2020,PR,0,11
2020,PR,0,0
2020,PR,0,15
2020,PR,0,0
2020,PR,0,1
2020,PR,0,16
2020,PR,0,0
2020,PR,0,11
2020,PR,0,0
2020,PR,0,1
2020,PR,0,12
2020,PR,0,0
2020,PR,0,7
2020,PR,0,0
2020,PR,0,2
2020,PR,0,1
2020,PR,0,6
2020,PR,0,1
2020,PR,0,4
2020,PR,0,0
2020,PR,0,4
2020,PR,0,0
2020,PR,0,0
2020,PR,9,0
2020,PR,0,0
2020,PR,0,3
2020,PR,0,0
2020,PR,0,4
2020,PR,0,0
2020,PR,0,1
2020,PR,0,4
2020,PR,0,1
2020,PR,0,4
2020,PR,0,1
2020,PR,0,0
2020,PR,0,3
